e`temad,E`temad(Iran (Islamic Republic of)),39.2676,48.0226
e`tezadiyeh,E`tezadiyeh(Iran (Islamic Republic of)),38.783333,45.233333
e`tezadiyeh,E`tezadiyeh(Iran (Islamic Republic of)),35.544340999999996,53.396275
